Accident_Index,Location_Easting_OSGR,Location_Northing_OSGR,Longitude,Latitude,Police_Force,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Date,Day_of_Week,Time,Local_Authority_(District),Local_Authority_(Highway),1st_Road_Class,1st_Road_Number,Road_Type,Speed_limit,Junction_Detail,Junction_Control,2nd_Road_Class,2nd_Road_Number,Pedestrian_Crossing-Human_Control,Pedestrian_Crossing-Physical_Facilities,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Special_Conditions_at_Site,Carriageway_Hazards,Urban_or_Rural_Area,Did_Police_Officer_Attend_Scene_of_Accident,LSOA_of_Accident_Location,Month,Calendar_Year
200597AB02212,259430,666060,-4.247946,55.867195,97,3,2,4,11/12/2005,1,18:10:00,926,S12000043,6,0,6,30,6,2,3,804,0,0,4,1,2,0,0,1,1,,12,2005
200597AB02302,258980,666380,-4.255297,55.869936,97,3,2,2,16/02/2005,4,18:40:00,926,S12000043,3,804,6,30,3,4,6,0,0,0,4,2,2,0,0,1,1,,2,2005
200597AB02304,258850,665880,-4.257113,55.865409,97,3,1,1,16/04/2005,7,00:50:00,926,S12000043,6,0,2,30,6,2,6,0,0,5,4,1,1,0,0,1,1,,4,2005
200597AB02312,258950,664910,-4.255011,55.85673,97,2,1,1,11/12/2005,1,04:05:00,926,S12000043,6,0,2,30,0,-1,-1,0,0,4,4,1,2,0,0,1,1,,12,2005
200597AB02401,259030,665340,-4.253958,55.860614,97,3,1,1,14/01/2005,6,19:15:00,926,S12000043,6,0,9,30,0,-1,-1,0,0,0,1,1,2,0,0,1,1,,1,2005
200597AB02402,258850,665360,-4.256842,55.86074,97,3,1,1,10/02/2005,5,11:50:00,926,S12000043,6,0,2,30,6,4,6,0,0,5,1,9,2,0,0,1,2,,2,2005
200597AB02404,259090,664730,-4.252683,55.855155,97,3,2,4,17/04/2005,1,16:00:00,926,S12000043,3,814,6,30,3,2,6,0,0,0,1,2,2,0,0,1,2,,4,2005
200597AB02410,258840,665340,-4.256991,55.860558,97,3,1,1,15/10/2005,7,20:30:00,926,S12000043,6,0,2,30,6,2,6,0,0,5,4,1,1,0,0,1,1,,10,2005
200597AB02501,259280,665880,-4.250247,55.865535,97,2,1,1,11/01/2005,3,00:15:00,926,S12000043,6,0,6,30,6,2,6,0,0,5,4,9,2,0,0,1,1,,1,2005
200597AB02508,258900,665620,-4.256179,55.863089,97,2,1,1,11/08/2005,5,17:59:00,926,S12000043,6,0,2,30,7,4,6,0,0,5,1,1,1,0,0,1,1,,8,2005
200597AB02511,259010,666180,-4.254714,55.868149,97,3,2,2,11/11/2005,6,18:15:00,926,S12000043,6,0,9,30,6,2,6,0,0,5,4,4,2,0,0,1,1,,11,2005
200597AB02601,259700,664980,-4.243076,55.857577,97,3,2,1,15/01/2005,7,01:30:00,926,S12000043,6,0,6,30,6,2,6,0,0,5,4,1,2,0,0,1,1,,1,2005
